,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,rolloff-mean,rolloff-var,bandwidth-mean,bandwidth-var,centroid-mean,centroid-var,rms-mean,rms-var,harmonic-mean,harmonic-var,percpt-mean,percpt-var,zeroCross-mean,zeroCross-var,mel-mean,mel-var,chroma-mean,chroma-var,mfcc1-mean,mfcc1-var,mfcc2-mean,mfcc2-var,mfcc3-mean,mfcc3-var,mfcc4-mean,mfcc4-var,mfcc5-mean,mfcc5-var,mfcc6-mean,mfcc6-var,mfcc7-mean,mfcc7-var,mfcc8-mean,mfcc8-var,mfcc9-mean,mfcc9-var,mfcc10-mean,mfcc10-var,mfcc11-mean,mfcc11-var,mfcc12-mean,mfcc12-var,mfcc13-mean,mfcc13-var,mfcc14-mean,mfcc14-var,mfcc15-mean,mfcc15-var,mfcc16-mean,mfcc16-var,mfcc17-mean,mfcc17-var,mfcc18-mean,mfcc18-var,mfcc19-mean,mfcc19-var,mfcc20-mean,mfcc20-var
1,blink-182,All The Small Things,167066,False,1999,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,"rock, pop",5343.376022669553,1521842.3015194116,2512.278681570765,122172.30773228293,2524.2453928509035,385787.57216228725,0.2783801853656769,0.0018981981556862593,2.081690354316379e-06,0.04251948744058609,-0.00012581005285028368,0.013185285963118076,0.1264013605442177,0.11042405659678842,16.76509666442871,5557.9462890625,0.4386475682258606,0.07769829779863358,3.6565089225769043,2038.2803955078125,82.17168426513672,497.6434326171875,-5.2975993156433105,521.361572265625,39.020835876464844,147.55978393554688,-3.8941094875335693,139.9635009765625,19.948219299316406,84.68329620361328,1.1161792278289795,87.96337127685547,15.969868659973145,51.462242126464844,-3.0654373168945312,64.01302337646484,14.835420608520508,56.75748062133789,-4.8545966148376465,55.459938049316406,13.070330619812012,59.082637786865234,-8.524932861328125,54.45636749267578,10.110353469848633,59.01828384399414,-4.575875282287598,52.39163589477539,5.140948295593262,49.54023361206055,-10.766698837280273,40.957855224609375,2.84678053855896,37.66484069824219,-8.010397911071777,53.91078567504883,4.63280725479126,49.577884674072266
2,Faith Hill,Breathe,250546,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,"pop, country",4886.0662879589545,2981423.71654542,2466.989780773837,172366.74763526974,2298.3361552518027,730200.2671572936,0.1860654056072235,0.008136655203998089,-4.636841822502902e-06,0.025171762332320213,-8.090495248325169e-05,0.006881673354655504,0.10771730914588057,0.09611429045625139,8.819314956665039,2311.734619140625,0.3320806920528412,0.08931451290845871,-78.58956909179688,7884.17626953125,94.06000518798828,760.638427734375,0.33560189604759216,541.8156127929688,26.379961013793945,208.9844207763672,5.2389607429504395,192.73838806152344,7.502412796020508,129.8018341064453,-5.436150550842285,97.39884185791016,9.728267669677734,100.18036651611328,-8.0452880859375,77.59062957763672,6.722813606262207,101.8801498413086,-11.835515022277832,75.81027221679688,4.291726112365723,72.13080596923828,-9.28610897064209,59.63200378417969,5.132080078125,53.318843841552734,-8.431241989135742,73.41314697265625,5.126649856567383,67.45167541503906,-6.909034729003906,59.591548919677734,4.3485918045043945,64.24772644042969,-6.544967174530029,63.401611328125,4.868825912475586,74.10871887207031
5,Sisqo,Thong Song,253733,True,1999,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549,"hip hop, pop, R&B",5780.890043748791,1970849.3380014189,2688.5270327300836,105987.93803765751,2573.905075399337,516658.3536268498,0.20776508748531342,0.007490328513085842,-1.5244601854647044e-05,0.02271122857928276,7.975660992087796e-05,0.018642837181687355,0.10522448979591836,0.09415229654310701,11.476482391357422,7486.90234375,0.48793286085128784,0.08505871891975403,-56.375980377197266,2865.499267578125,82.69661712646484,647.689697265625,2.232475757598877,440.7293395996094,22.591705322265625,327.6636657714844,-4.561616897583008,241.38992309570312,6.646122932434082,144.94918823242188,-4.807284355163574,130.2262725830078,11.230804443359375,93.59925079345703,-5.286602020263672,107.78569793701172,10.920510292053223,87.2348861694336,-6.529703617095947,85.11077880859375,7.434136390686035,54.09653854370117,-4.318053722381592,56.664710998535156,8.878012657165527,63.6167106628418,-6.147668361663818,57.507049560546875,7.278820514678955,53.071109771728516,-8.706937789916992,43.7628059387207,7.403339385986328,54.926429748535156,-5.305089950561523,42.727298736572266,5.402427673339844,43.845890045166016
6,Eminem,The Real Slim Shady,284200,True,2000,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip hop,4507.0602464233025,4088019.6137758526,2258.6123487887153,317729.8372831545,2259.3296400426552,1049922.159621875,0.24484314024448395,0.01497277058660984,-6.948198279133067e-05,0.01819026470184326,6.116853910498321e-05,0.03349478170275688,0.11548374905517762,0.10214725275933845,16.193456649780273,18735.669921875,0.4334985613822937,0.08968929201364517,-75.1949462890625,6488.44921875,91.68287658691406,1661.4500732421875,-7.686169624328613,1389.328125,33.98346710205078,634.8310546875,5.518591403961182,378.1556396484375,-2.3941733837127686,543.9129028320312,-2.7049386501312256,230.94737243652344,7.781476974487305,244.10211181640625,-9.176854133605957,229.4263458251953,11.950077056884766,123.61614990234375,-6.489245891571045,126.84466552734375,8.381950378417969,98.95896911621094,0.27810153365135193,106.74962615966797,5.480374813079834,104.27143859863281,-3.655998706817627,93.77838134765625,8.674726486206055,102.23509979248047,-6.613146781921387,71.16573333740234,7.186367511749268,77.04637908935547,-5.840512752532959,98.7520523071289,0.3207334280014038,67.83123016357422
7,Robbie Williams,Rock DJ,258560,False,2000,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035,"pop, rock",5069.8735098351635,2906834.1705581513,2440.2515421657286,213053.62191013095,2358.3722100006503,652335.7368640223,0.2436906397342682,0.006991236470639706,-2.8305474188528024e-05,0.022325145080685616,7.655537774553522e-05,0.022975971922278404,0.10330990173847317,0.0926369659412602,14.482868194580078,9037.3837890625,0.42263391613960266,0.08753614127635956,-33.15303421020508,3509.969482421875,94.47669219970703,937.1442260742188,-10.361299514770508,375.1189270019531,17.66790008544922,235.54905700683594,-2.519970178604126,186.38290405273438,11.95190143585205,168.07623291015625,-7.910852909088135,137.445068359375,11.649404525756836,111.36268615722656,-4.737826347351074,94.4908218383789,8.12944221496582,85.41468811035156,-7.929516792297363,71.7882308959961,11.826310157775879,74.86590576171875,-7.851783752441406,61.090110778808594,6.337174892425537,61.935455322265625,-4.08213996887207,66.51522827148438,4.657231330871582,71.77334594726562,-4.024668216705322,58.077762603759766,7.637428283691406,52.0703010559082,-3.7482147216796875,69.18104553222656,8.299437522888184,65.89923095703125
8,Destiny's Child,Say My Name,271333,False,1999,75,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009,"pop, R&B",5710.523802577158,2968613.0487836264,2645.5808285937005,219029.19524762002,2746.7815175337228,808871.7350208734,0.20260757207870483,0.006617851089686155,-3.8262628550000954e-06,0.023973636329174042,-0.00018311561143491417,0.011695876717567444,0.11912925170068027,0.10493747308991626,10.163860321044922,6818.75390625,0.38140201568603516,0.08706597238779068,-68.39143371582031,4756.9619140625,68.9910888671875,990.215087890625,6.5727434158325195,580.4747314453125,40.855010986328125,376.2955627441406,3.4903054237365723,250.03245544433594,1.6883267164230347,326.64019775390625,-3.6986677646636963,240.93968200683594,1.9909539222717285,186.42340087890625,-3.0650391578674316,170.22549438476562,7.311532497406006,167.64207458496094,-11.947229385375977,128.0628662109375,6.593659400939941,136.28927612304688,-10.523308753967285,131.70286560058594,3.8097169399261475,120.04945373535156,-5.100476264953613,113.07196044921875,1.8422921895980835,122.3775634765625,-5.618242263793945,101.8618392944336,4.3709588050842285,128.4752960205078,-6.527385234832764,139.0028076171875,5.521020889282227,189.50759887695312
9,Modjo,Lady - Hear Me Tonight,307153,False,2001,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic,5589.703699826456,2018736.3407249989,2586.5812949160204,140560.94057595587,2551.0374384712013,650508.2630939344,0.34857454895973206,0.011947094462811947,1.7004842447931878e-05,0.06477759778499603,0.0014922284753993154,0.033490438014268875,0.09460922146636433,0.08565831667989277,29.959848403930664,59352.328125,0.4522494673728943,0.09164521098136902,-18.412195205688477,2460.5927734375,72.65592193603516,811.144775390625,-1.6915090084075928,467.04083251953125,38.15009689331055,333.6186828613281,5.862171649932861,170.5729217529297,18.357421875,179.08840942382812,-5.3073344230651855,158.45034790039062,11.37344741821289,77.08084869384766,-8.6519136428833,88.6231689453125,15.241857528686523,70.25946044921875,-2.5746238231658936,63.336063385009766,8.410040855407715,87.17317199707031,-1.8276722431182861,75.58761596679688,9.929512977600098,54.21731185913086,-7.23137903213501,48.42316818237305,2.86814546585083,48.32889175415039,-7.787425518035889,55.9022331237793,6.112325191497803,43.61496353149414,-5.921859264373779,57.96466064453125,2.1105659008026123,60.3561897277832
10,Gigi D'Agostino,L'Amour Toujours,238759,False,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop,5805.610727599531,1728520.2020579602,2708.119835147372,95331.68949669623,2595.5828277446726,440375.20393541234,0.23744210600852966,0.007487564347684383,0.0002587070339359343,0.038228899240493774,-0.0002323559019714594,0.012126985937356949,0.09894557823129252,0.0891553507797677,14.431307792663574,11682.076171875,0.3647507429122925,0.08655062317848206,-45.938697814941406,1898.8016357421875,78.1378173828125,492.31396484375,2.3682732582092285,307.21588134765625,22.41482925415039,148.59573364257812,-4.075924873352051,152.54562377929688,13.247519493103027,113.97267150878906,-3.696812868118286,138.43333435058594,8.42390251159668,74.69342803955078,-2.274233102798462,74.37425231933594,9.614831924438477,68.40841674804688,-6.865535259246826,56.197635650634766,11.533604621887207,58.08369827270508,-5.983896732330322,109.5951919555664,10.58905029296875,97.71859741210938,-5.8522138595581055,113.96009063720703,9.854228019714355,101.60606384277344,-5.4067864418029785,82.35342407226562,9.351320266723633,86.86392211914062,-3.625430107116699,109.91055297851562,5.589829921722412,91.74359130859375
11,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,False,1999,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,4874.328858933582,1700367.048039003,2383.1045300766796,147368.12572008622,2229.1349720779385,310376.36718700104,0.16250211000442505,0.003727224888280034,6.545293672388652e-06,0.01248184870928526,9.826073073782027e-05,0.009024924598634243,0.08835298563869992,0.08054673556742759,6.664767742156982,2839.853515625,0.39534100890159607,0.0789945051074028,-74.32628631591797,2902.874755859375,93.98360443115234,635.5873413085938,-11.396801948547363,366.6264343261719,27.30817985534668,150.78273010253906,1.0471374988555908,93.9738998413086,19.21467399597168,85.96430206298828,-1.8314019441604614,116.54082489013672,11.67687702178955,72.40058135986328,-3.1426515579223633,111.82022857666016,10.1205415725708,66.23985290527344,-4.286297798156738,71.88165283203125,8.951933860778809,76.35093688964844,-6.7233123779296875,43.21554946899414,5.476700305938721,68.84172058105469,-5.667466640472412,58.75257110595703,7.316089630126953,59.65488815307617,-6.152291774749756,85.45360565185547,6.066658020019531,73.6495590209961,-5.458763122558594,66.03305053710938,4.631373405456543,68.34052276611328
12,Bomfunk MC's,Freestyler,306333,False,2000,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop,5109.919101018286,3254520.5583776487,2434.2846332623453,152161.09885652238,2484.5408778434053,1089935.228365101,0.15439395606517792,0.006306104827672243,-6.131064583314583e-05,0.012687507085502148,7.65018121455796e-05,0.009541450999677181,0.12170521541950113,0.10689305595919397,6.40751838684082,3314.140869140625,0.4052097201347351,0.08767086267471313,-102.10720825195312,5965.2919921875,79.02074432373047,1517.801025390625,-5.11099100112915,660.0987548828125,27.23264503479004,550.5520629882812,-0.7011575102806091,409.2140197753906,20.8209171295166,194.7270050048828,-3.423726797103882,189.3428192138672,6.826547622680664,93.80252838134766,-4.701926231384277,87.66927337646484,10.304311752319336,76.31578826904297,-2.375896453857422,75.78091430664062,6.9329118728637695,71.47065734863281,-6.663347244262695,61.356605529785156,6.866974353790283,60.25706100463867,-2.2882425785064697,59.10750198364258,5.354010581970215,44.855228424072266,-4.54300594329834,46.16873550415039,4.952737331390381,64.87848663330078,-6.140299320220947,92.59805297851562,6.337541580200195,73.23915100097656
