,Song,Artist,Query
0,oops!...i did it again,britney spears,oops!...i did it again britney spears lyrics
1,all the small things,blink-182,all the small things blink-182 lyrics
2,breathe,faith hill,breathe faith hill lyrics
3,it's my life,bon jovi,it's my life bon jovi lyrics
4,bye bye bye,*nsync,bye bye bye *nsync lyrics
5,thong song,sisqo,thong song sisqo lyrics
6,the real slim shady,eminem,the real slim shady eminem lyrics
7,rock dj,robbie williams,rock dj robbie williams lyrics
8,say my name,destiny's child,say my name destiny's child lyrics
9,lady - hear me tonight,modjo,lady - hear me tonight modjo lyrics
10,l'amour toujours,gigi d'agostino,l'amour toujours gigi d'agostino lyrics
11,move your body - gabry ponte original radio edit,eiffel 65,move your body - gabry ponte original radio edit eiffel 65 lyrics
12,freestyler,bomfunk mc's,freestyler bomfunk mc's lyrics
13,desert rose,sting,desert rose sting lyrics
14,never be the same again,melanie c,never be the same again melanie c lyrics
15,try again,aaliyah,try again aaliyah lyrics
16,i'm outta love - radio edit,anastacia,i'm outta love - radio edit anastacia lyrics
17,better off alone,alice deejay,better off alone alice deejay lyrics
18,the riddle,gigi d'agostino,the riddle gigi d'agostino lyrics
19,the next episode,dr. dre,the next episode dr. dre lyrics
20,in the end,linkin park,in the end linkin park lyrics
21,sexbomb,tom jones,sexbomb tom jones lyrics
22,it feels so good,sonique,it feels so good sonique lyrics
23,cold as ice,m.o.p.,cold as ice m.o.p. lyrics
24,i turn to you,melanie c,i turn to you melanie c lyrics
25,take a look around,limp bizkit,take a look around limp bizkit lyrics
26,sandstorm,darude,sandstorm darude lyrics
27,what'chu like (feat. tyrese),da brat,what'chu like (feat. tyrese) da brat lyrics
28,the time is now,moloko,the time is now moloko lyrics
29,don't give up,chicane,don't give up chicane lyrics
30,party up,dmx,party up dmx lyrics
31,dance with me,debelah morgan,dance with me debelah morgan lyrics
32,music,madonna,music madonna lyrics
33,no more,ruff endz,no more ruff endz lyrics
34,born to make you happy,britney spears,born to make you happy britney spears lyrics
35,get it on tonite,montell jordan,get it on tonite montell jordan lyrics
36,spinning around,kylie minogue,spinning around kylie minogue lyrics
37,big pimpin',jay-z,big pimpin' jay-z lyrics
38,i need you,leann rimes,i need you leann rimes lyrics
39,separated,avant,separated avant lyrics
40,be with you,enrique iglesias,be with you enrique iglesias lyrics
41,he wasn't man enough,toni braxton,he wasn't man enough toni braxton lyrics
42,bounce with me (feat. xscape) - edited album version,bow wow,bounce with me (feat. xscape) - edited album version bow wow lyrics
43,forgot about dre,dr. dre,forgot about dre dr. dre lyrics
44,hot boyz,missy elliott,hot boyz missy elliott lyrics
45,show me the meaning of being lonely,backstreet boys,show me the meaning of being lonely backstreet boys lyrics
46,gotta tell you,samantha mumba,gotta tell you samantha mumba lyrics
47,case of the ex (whatcha gonna do),mýa,case of the ex (whatcha gonna do) mýa lyrics
